FRTIPCLFCERT02CCR-01^CCR~-~IFR~recibidas~desde~CCA~directo	172.20.200.71	24051
FRTIPCLFCERT02MCD-08^MCD~-~MasterCard~Débito	98.200.14.228	9034
FRTIPCLFCERT02MCI-07^MCI~-~MasterCard~Crédito	98.200.14.228	9034
FRTIPCLFCERT02MCD-07^MCD~-~MasterCard~Débito	10.218.34.110	6003
FRTIPCLFCERT02MCI-07^MCI~-~BFCL~-~MasterCard~Internacional	10.218.34.111	6003
FRTIPCLFCERT02CCR-05^CCR-Pruebas~Mirror~Bank~assay	10.0.111.147	8081
FRTIPCLFCERT02RBR-01^RBR~-~IFR~recibidas~desde~REDBANC	163.250.239.100	6191
FRTIPCLFCERT02RDB-01^RDB~-~BFCL~-~RedBanc~HOST-2	163.250.239.27	2011
FRTIPCLFCERT02RDB-02^RDB~-~BFCL~-~RedBanc~HOST-2	163.250.239.27	2021
FRTIPCLFCERT02RDB-03^RDB~-~BFCL~-~RedBanc~HOST-2	163.250.239.27	2511
FRTIPCLFCERT02RDB-04^RDB~-~BFCL~-~RedBanc~HOST-2	163.250.239.27	2521
FRTIPCLFCERT02RDB-05^RDB~-~BFCL~-~RedBanc~HOST-2	163.250.239.27	3495
FRTIPCLFCERT02RDB-06^RDB~-~BFCL~-~RedBanc~HOST-2	163.250.239.100	3511
FRTIPCLFCERT02RDB-07^RDB~-~BFCL~-~RedBanc~HOST-2	163.250.239.100	3521
FRTIPCLFCERT02TBC-05^TBC~-~BFCL~-~Transbank~Crédito	200.10.10.144	5621
FRTIPCLFCERT02TBC-02^TBC~-~BFCL~-~Transbank~Crédito	10.140.0.115	5608
FRTIPCLFCERT02TBC-03^TBC~-~BFCL~-~Transbank~Crédito	10.218.34.120	11001
FRTIPCLFCERT02TBC-04^TBC~-~BFCL~-~Transbank~Crédito	200.10.14.9	5604
FRTIPCLFCERT02TBC-05^TBC~-~BFCL~-~Transbank~Crédito	77.0.9.41	5604
FRTIPCLFCERT02TBK-02^TBK~-~BFCL~-~Transbank	200.10.10.144	5621
FRTIPCLFCERT02TBK-04^TBK~-~BFCL~-~Transbank	10.212.24.116	6003
FRTIPCLFCERT02TBK-05^TBK~-~BFCL~-~Transbank	10.212.24.47	6003
FRTIPCLFCERT02TBK-06^TBK~-~BFCL~-~Transbank	200.10.10.145	5621
FRTIPCLFCERT02TBK-07^TBK~-~BFCL~-~Transbank	200.10.10.145	5623
FRTIPCLFCERT02TBK-08^TBK~-~BFCL~-~Transbank	200.10.10.145	5624
FRTIPCLFCERT02TEF-01^TEF-IFO~enviadas~CCA	172.20.200.71	27051
FRTIPCLFCERT02TEF-02^TEF-IFO~enviadas~CCA	172.20.200.71	28051
FRTIPCLFCERT02TEF-03^TEF-IFO~enviadas~CCA	172.20.200.71	29051
FRTIPCLFCERT02TEF-04^TEF-IFR~recibidas~desde~CCA	172.20.200.71	24051
FRTIPCLFCERT02TEF-05^TEF-IFR~recibidas~desde~CCA	172.20.200.71	25051
FRTIPCLFCERT02TEF-06^TEF-IFR~recibidas~desde~CCA	172.20.200.71	26051
FRTIPCLFCERT02VIS-01^VIS~-~Corp~-~Visa~Crédito	11.11.11.1	10153
FRTIPCLFCERT02VIS-02^VIS~-~Corp~-~Visa~Crédito	11.11.11.193	10152
FRTIPCLFCERT02VIS-03^VIS~-~Corp~-~Visa~Crédito	11.11.11.1	10150
