FRTIPCOFCERT01ASC-01^ASC~-~Credibanco~Colombia	10.123.96.17	7510
FRTIPCOFCERT01ASC-02^ASC~-~Credibanco~Colombia	10.123.96.17	8510
FRTIPCOFCERT01CDT-01^CDT~-~Conexión~Captaciones	120.11.10.122	20188
FRTIPCOFCERT01MCI-01^MCI~-~MasterCard~Internacional	10.128.2.152	3115
FRTIPCOFCERT01MCI-04^MCI~-~MasterCard~Internacional	192.168.0.57	6004
FRTIPCOFCERT01MCI-05^MCI~-~MasterCard~Internacional~MIP	10.120.46.30	6134
FRTIPCOFCERT01MKR-01^MKR~-~Conexión~Tiendas~Makro	120.11.10.122	21129
FRTIPCOFCERT01RBM-01^RBM~-~Redeban~Multicolor~Colombia	10.123.96.9	12243
FRTIPCOFCERT01RBM-02^RBM~-~Redeban~Multicolor~Colombia	10.123.96.9	12143
FRTIPCOFCERT01SRV-01^SRV~-~Conexión~Cajeros~Servibanca	10.123.96.1	7245
